Text,Label
"Al Quds rally against human rights violations by Israel will take place at Abpara area, will continue after Juma prayer & will move to G-6/2 Imambargah & then Nadra Chowk  Staff advised to avoid the area and use alternate routes ",1
Traffic jam from lehtrar road to partal rd,1
Faisal Avenue Flyover is now free for light traffic,0
Marble Rd to Roomi Rd road is free now from heavy traffic jam,0
Khore road is clear at 12 pm,0
Iqbal town have no traffic,0
Madina Town road is free now due to emergency,0
Traffic will disturb today and next two days on Seaview road  Due to Eat Karachi event,1
IJP road is opened from 4pm to 6 pm in the evening,0
Traffic open from service rd to razaq valley rd,0
All clear at Super Market main road at 3:05 PM,0
Dhoke Hassu to Range Rd road is now free for bike riders,0
IJP is blocked from double road towards Pirwadai  Use altternate route,1
Roomi Rd road is now free for bike riders,0
Traffic open from faisal ave to murre road,0
No traffic at rerhan,0
Traffic jam from ahmed faraz rd to main margalla rd islamabad,1
Do not use GT road from DHA 2 to Saddar Side  Stuck in traffic from last 1 5 hrs,1
"Due to Atif's concert, traffic jam from nipa to jauhar chowrangi",1
Traffic open from 9th ave to service road EAST islamabad,0
Tramri chowk signnal have no traffic,0
Traffic jam from jinnah ave to 9th ave islamabad,1
GT road  is clear at 11pm,0
PIMS service road is free now due to emergency,0
traffic jam due to accident on mall road chauburji,1
Rawal Chowk is open for traffic,0
Kashmir Highway (Islamabad Chowk till Motorway Morr) is blocked  Traffic is diverted to Golra morr,1
Range Rd to Marble Rd road is now free for bike riders,0
Gt road  Gujarkhan is blocked due to plate form construction,1
Massive traffic jam from Natha Khan bridge to star gate  #Karachi Time: 2:00pm,1
Traffic open from sardar farman ali ave 2 to link road,0
Karachiites continue suffering in frustrations as major parts of the city have been blocked due to security issues   The daily commuters are facing hours of delays as severe traffic jam continues,1
Major road is opened by administration due to more traffic on other road,0
Muree road is totaly blocked due to alot of cars stuck in traffic jam,1
IJP Road and Taramri Chowk is blocked by Protestors,1
F-8 markaz is open for all kind of traffic after the ancident,0
G 8 is clear,0
Traffic jam from sawan road to service road E islamabad,1
Khayaban Sir Syed Rd road is free now from heavy traffic jam,0
Gulberg Underpass to Madina Town road is closed now due to emergency,1
Faizabad to Stadium Rd road is now free for light traffic,0
Madina Town to Korang Rd road is now closed for bike riders,1
Heavy traffic around Sunday market because people are there for shopping so use alternative roads to pass this area,1
Naval Anchorage Rd road is closed due to heavy traffic jam,1
Rawalpindi-Islamabad Faizabad Interchange are open for traffic,0
Madina Town to Korang Rd road is closed,1
Burma town is clear,0
Traffic open from main margalla rd to kohistan rd islamabad,0
there is no traffic jam on Kumrat road for tourist,0
Avoid Karsaz heading towards Shahra-e-Faisal  Road open,0
Peshawar Mor is clear for traffic,0
Protest in front of Central Jail  Road blocked for traffic,1
Marble Rd road is free now due to emergency,0
7up Chowk is clear for all kind of traffic after heavy traffic jam,0
Expressway right now heavy traffic at night,1
Roomi Rd road is closed,1
PPP workers & supporters will hold a protest today around 1700hrs against the IHC order to arrest their leader Asif Ali Zardari on following locations,1
"een Talwar, Star Gate at Shahrah-e-Faisal, Numaish, Liaquatabad No 10, Sohrab Goth, Korangi No 5, Bara Board, Baldia No 4, Ranchor Line, Shoe Market, and New Karachi have been open for traffic ",0
Protest tomorrow against blockade of Faizabad        All people are requested to join us in ending this zalalaat!!!,1
Faizabad to Stadium Rd road is now closed for bike riders,1
No traffic near Multan airport,0
Saidpur Rd to Khayaban Sir Syed Rd road is now free for light traffic,0
Westridge is cleared due to shifting of heavy traffic to another road,0
Traffic jam from park enclave road to tanoli road,1
"Traffic jam from Urdu University till jail Chowrangi, Take alternative route, stadium road",1
Stuck in traffic at dalmia road,1
Faizabad to khanapul road is closed now due to emergency,1
Traffic is badly jam bumper to bumper at ICI Bridge due to protest  Please avoid this route  Take some alternates,1
Westridge is opened due to clearance of traffic,0
No traffic at h8,0
Traffic jam from kahota road to partal rd,1
Traffic jam on IJP Road due to accident of two motorcycles,1
I-8 markaz is clear for traffic,0
Shah najaf road is quite and clear,0
Traffic open on express way towards isb just befre bahria turn,0
"Traffic disruption may face MA Jinnah road, Saddar and adjoining roads",1
Park road is all clear after road repairing,0
No traffic at hazara motorway,0
There is traffic jammed on IGP road,1
"Punjab Bank Roundabout towards Kaali Tanki, 4th Road is closed for traffic",1
T Chowk road is now closed for bike riders,1
Mozang road is blocked due to fog,1
Avoid MCD F10 round about,1
Road is closed for traffic at star gate towards city,1
Traffic open before garden on lyari expressway,0
Satellite town is clear,0
MM Alam road block due to heavy traffic,1
Pirwadhai Rd to Dhoke Hassu road is now closed for light traffic,1
No rush near maroof international,0
Lodhi road is clear,0
Allama Iqbal Rd to T Chowk road is free,0
Pirwadhai Rd road is closed due to heavy traffic jam,1
Protest by employees & residents of Bahria Town underway at M9 Motorway near Bahria Town  Both tracks of M9 MotoTraffic jam reported at Jahangir roadrway is blocked,1
"Protest by Shia Ulema council at Khoja Masjid, Kharadar; 1330 hrs; traffic congestion expected in adjoining area's ",1
Whole Rwp city traffic is jam,1
Traffic jam on Express highway,1
NADRA Chowk towards Radio Pakistan Chowk is closed for traffic from both sides,1
Luqman Hakeem Rd is free now from heavy traffic jam,0
Hanna Rd road is now free for bike riders,0
Kurram Road is closed due to emergency situations in the morning,1
Marble Rd road is now closed for bike riders,1
Ijp road is clear today morning,0
No jams at coran town,0
"Due to accident at Kak pull of oil tanker , koral towards rawat highway is blocked, Road users Islamabad towards rawat use pindi side , 9th ave , gt road ect",1
Traffic open from 4rth ave to isfahani rd islamabad,0
IJP road is closed due to political party protest,1
Traffic jam from service road south to service road east islamabad,1
Traffic jam from service road east to union council rd,1
26number towards eme college Peshawar road traffic is jam,1
Traffic open from aun muhammad rizvi rd to  nazim-ud-din rd islamabad,0
Saddar is closed due to cars accident,1
Traffic coming from PIB to Jail Chowrangi is diverted to jamshaid road,1
The twon road is clear today bannu,0
Khayaban Sir Syed Rd to Pirwadhai Rd road is now closed for light traffic,1
G7 is clear,0
Pirwadhai Rd to Dhoke Hassu road is free now from heavy traffic jam,0
Major road is closed due to Chehlum Procession,1
khanapul is free now from heavy traffic jam,0
"Oil tanker down  Roads jamed from both sides, at Kak pull",1
Commettii chok is clear today,0
"Tower road is closed for traffic, traffic diversion from Jinnah bridge towards MT khan road, MA Jinnah road towards Baba-e-urdu cut while II Chandrigar road towards Uni centre ",1
Dhoke Hassu to Range Rd road is now closed for bike riders,1
"All Tourists who want to come to Naran, try to pass through Abbottabad, Mansehra in early morning or late night  Otherwise you ll be stuck in heavy traffic jam in day time ",1
Text,Label
Zero point to Faizabad road is now closed for bike riders,1
Dhoke Hassu road is now free for light traffic,0
Traffic open from lehtrar road to farash rd,0
Dhoke Hassu road is now closed for bike riders,1
Navel road from highway is clear,0
G-13 is clear for all kind of traffic,0
Korang Rd to Naval Anchorage Rd road is free,0
"Avoid Hassan Square route which is heading towards Naumaish, TLP rally underway ",1
Club Road is blocked with containers due to rally,1
Murree road is closed from liaqat bagh to comittee chowk,1
There is jam at commercial,1
Allama Iqbal Rd to T Chowk road is closed due to heavy traffic jam,1
Khayaban Sir Syed Rd to Pirwadhai Rd road is now free for bike riders,0
Range Rd to Marble Rd road is free now from heavy traffic jam,0
Sadar is clear today eveing,0
Roomi Rd road is now free for Havey traffic,0
Kahuta Rd to Allama Iqbal Rd road is free,0
Traffic jam site towards garden before zoo,1
Express Highway is blocked now for normal traffic operations towards Rawalpindi  Please avoid area,1
Allama Iqbal Rd to T Chowk road is now free for bike riders,0
Traffic open from kirthar rd to faiz ahmed faiz rd islamabad,0
Gulberg Underpass is now free for bike riders,0
What's happening in sector E11? Roads are blocked but why? Some kind of protest?,1
Madina Town to Korang Rd road is now free for Havey traffic,0
There is no jams at khotakabar,0
Margalla road from F11/2-3 to Nazim ud Din road will remain closed from both directions,1
Traffic open on express way,0
Beaconhouse Haideri Chowk to F 11 Markaz road will remain closed from both directions,1
Tarnol is clear at 11pm,0
Khayaban Sir Syed Rd road is now free for bike riders,0
Oil Tankers Associations protest near Jackson Police Station and blocked the road heading towards Maripur,1
L A is clear at the moment,0
"Traffic disruption at Shahrah e Faisal, Karsaz, Stadium Road University Road, Rashid Minhas Road and surroundings  PTI rally is underway ",1
Traffic open at aun muhammad rizvi road G-10 kashmir highway islamabad,0
Range Rd to Marble Rd road is free now due to emergency,0
Traffic jam from park rd to tariqabad rd,1
No sign of any heavy traffic at Super Market right now,0
There huge traffic at tarnol,1
Roomi Rd road is free now due to emergency,0
"Rehmanabad Murree Road turn towards College Chowk Saidpur Road, 5th Road is closed for traffic",1
Marble Rd to Roomi Rd road is now closed for light traffic,1
Traffic open at Shafiq mor near Afroz Textile,0
There no traffic at bannu  lucky road,0
Pir Wadhai Mor Flyover is closed due to heavy traffic jam,1
PIMS Ibn-e-sina road is now free for light traffic,0
No traffic at chatta buhtawar,0
Murree Road is also block due to rally,1
IJP road is closed due to fog in the morning,1
Traffic jam from rehman baba rd to mir chakar khan rd islamabad,1
There is traffic at soangarden signal,1
Gulberg Underpass to Madina Town road is closed due to heavy traffic jam,1
Maripur road is closed for traffic due to protest by residents of machar colony against anti encroachment operation,1
Saidpur Rd road is free now due to emergency,0
9th Avenue is clear right now,0
Kahuta road is clear,0
Kurram Road is blocked due to Colliding of two trucks,1
Traffic open from service road south to service road east islamabad,0
HMC road is opened properly due to proper following of traffic rules,0
IJP Road is closed due to emergency situations in the morning,1
There is traffic jam on Kumrat road for tourist,1
Collage road F-7/3 is jam for all traffic,1
D-12 is also closed for all kind of traffic,1
Madina Town to Korang Rd road is free now due to emergency,0
Kohat tunnel have no rush,0
Traffic open at dalmia road,0
Traffic jam from potohar rd to service road EAST islamabad,1
Traffic jam from main margalla rd to ismail zabeeh rd islamabad,1
Traffic open from marvi rd to nazim-ud-din rd islamabad,0
Zero Point to Faizabad road will remain closed for both sides of traffic,1
Traffic open shabbir sharif rd to A K Brohi rd islamabad,0
Traffic open from service road east to koral town road,0
Faizabad to khanapul road is closed,1
faizabad to 6th road fly over is block due to traffic jam,1
Traffic jam from ahmed faraz rd to major rd islamabad,1
Traffic jam from second ave rd to universal road,1
"Due to security reasons, Ayesha Manzil towards Mukka Chowk is blocked for traffic, link roads leading towards Jinnah Ground, Azizabad is also blocked  Avoid this route",1
Luqman Hakeem Rd is now closed for bike riders,1
Gujjar khan road is clear,0
Madina Town road is now free for Havey traffic,0
Marriot Chowk are closed for traffic at the moment,1
Naval Anchorage Rd road is free now due to emergency,0
Naval Anchorage Rd to Japan Rd road is now free for light traffic,0
Pir badi morr is clear today,0
What's going on at kashmir Highway? I saw many buses with different party's flags and lot of rush around,1
There is no traffic on IGP road,0
Faizabad Flyover is blocked for traffic,1
gulberg is clear for traffic,0
Traffic open from main margalla rd to ismail zabeeh rd islamabad,0
Qutbal is clear now,0
Express highway is open Now,0
Zero point to Faizabad road is closed now due to emergency,1
"Traffic open at Abdullah Haroon Road, MT Khan road and Gurumandir ",0
Muree road is opened properly because of CCTV monitoring of vehicles,0
Pir Wadhai Mor Flyover is now free for Havey traffic,0
Massive traffic jam at punjab chowrangi #Karachi Time: 8:15p,1
DHA to Khanpul is clear for traffic,0
Traffic jam from park rd to royal ave,1
Peshawar university road  huge traffic today,1
There traffic at f10,1
Double road signnal have no traffic,0
Pir Wadhai Mor Flyover is free now due to emergency,0
Airport road to Gulberg Underpass is now closed for light traffic,1
No jams at sadar pindi,0
HMC road is closed due to fog in the morning,1
Trafic jam on shamsa  bad muree road due to students strike,1
Allama Iqbal Rd road is free,0
Ali pur frash is clear at 11pm,0
No traffic at motorway,0
G-6 markaz is also open for traffics,0
Neelam road is closed due to fog in the morning,1
Kahuta Rd to Allama Iqbal Rd road is now free for bike riders,0
Traffic open from lehtrar road to kahota rd,0
Faizabad is clear at 11pm,0
Khayaban road is clear towards IJP road,0
Traffic open from main margalla rd to service rd W islamabad,0
Heavy traffic on Jhelum road due to accident,1
Shaheed-e- Millat Road from Poly Clinic Chowk to Masjid Road will remain closed during the procession timing (14:00 hours to 16:00 hours),1
F7 is clear at the movement,0
Dont travel guys all the roads are blocked,1
Peshawar road is just clear for traffic after traffic jam,0
"Reports of protest at Fawara Chowk, Rd closed from Shaheen Chowk to Fawara Chowk",1
Kashmir Highway (Islamabad Chowk till Motorway Morr) is blocked,1
Japan Rd to Kahuta Rd road is closed now due to emergency,1
Allama Iqbal Rd road is now free for Havey traffic,0
Heavy traffic flow reported at Shafiq mor near Afroz Textile  Due to snap checking of Police and rangers,1
IIUI all gates are open so no more traffic problems at gate no 2 H-10,0
Traffic open from rehman baba rd to mir chakar khan rd islamabad,0
traffic jam in shamsabad muree road,1
khanapul to Airport Rd road is now free for bike riders,0
Traffic open from lehtrar road to madina town rd,0
Faizabad to Stadium Rd road is free,0
Traffic open from lehtrar road to partal rd,0
Japan Rd to Kahuta Rd road is now free for light traffic,0
Lalazar road is clear,0
Pirwadhai Rd road is now closed for bike riders,1
Muree Road half blocked from cometi chowk,1
Traffic jam from lehtrar road to masjid al rehman rd,1
Avoid Khana pull to tramari road due to Strike,1
No jams at tarnol railway,0
Marble Rd road is now closed for light traffic,1
Peshawar Mor is clear for traffic,1
Avoid 9th avenue if you are going from Islamabad to pindi  Blocked at the peshawarmore interchange,1
Traffic open from khayaban-e-suhrwardy to kashmir highway islamabad,0
Traffic jam from park rd to greens avenue,1
Saidpur Rd to Khayaban Sir Syed Rd road is now free for Havey traffic,0
Traffic jam from sufi tabasum rd to ashfaq ahmed rd islamabad,1
G-13 is closed for all kind of traffic,1
Range Rd to Marble Rd road is now closed for light traffic,1
Ayub Chowk are closed for traffic at the moment,1
Pir badi is clear at 3 pm,0
Saddar is closed due to bus accident on the way,1
No sign of any heavy traffic at Sigma road at 4:09 PM,0
Zero point is now closed towards Faizabad and if you're coming from the airport you'll have to divert at Khanna Pull,1
There is traffic jam on double road,1
Sixth road was closed because all traffic was diverted to it,1
Zero point to Faizabad road is closed due to heavy traffic jam,1
Range Rd road is closed now due to emergency,1
Major Road is temporally blocked due to heavy rain water,1
Pirbadi have huge havey traffic,1
A K  Fazl-ul-Haq Rd is now free for bike riders,0
Express way to pindi open now,0
Traffic open from rehman baba rd to tipu sultan rd islamabad,0
Traffic open from ghori town rd to madina town rd,0
Chah sulthan is clear,0
Airport Rd road is closed due to heavy traffic jam,1
Muree road is cleared due to shifting of heavy traffic to another road,0
"If govt and traffic police dont have ability to manage traffic, they shouldn't have invited Afghan President  Worse ever traffic jam everywhere in Islamabad  Left home at 8am for off ice n am still on road ",1
9th avenue is closed due to Chehlum Procession,1
No traffic near arabian sea,0
Traffic jam on express way towards isb just befre bahria turn due to hiace accident  Plz keep lef,1
Traffic jam from constitution ave to isfahani rd islamabad,1
Faizabad to Stadium Rd road is now free for bike riders,0
Marble Rd road is free now from heavy traffic jam,0
Traffic jam from lehtrar road to jagiot rd,1
Airport road to Gulberg Underpass is free now due to emergency,0
the current situation from i8 towards Gulberg is clear,0
Still jam from faizabad to faisal masjid,1
AlamChowk Road is temporally blocked due to heavy rain water,1
Traffic jam on AlamChowk Road due to accident of two motorcycles,1
Allama Iqbal Rd to T Chowk road is now free for light traffic,0
IJP road is closed due to cars accident,1
Ferozepur road is close due to pass out prade,1
Gulberg Underpass to Madina Town road is closed,1
Gulberg Underpass to Madina Town road is now closed for bike riders,1
Chakshehzad road to words rawal lake chowk is blocked,1
Westridge is opened by administration due to more traffic on other road,0
Traffic open from hill rd to school rd islamabad,0
There is no land sliding happen on road,1
PM to inaugurate Kamyab Jawan Program in Convention Centre today so expect congestion around Convention Centre today at 2pm,1
Mall road is closed for all kind of traffic,1
Kashmir Highway (Islamabad Chowk till Motorway Morr) is open for traffic,0
Still jam till PPP Chowrangi   Traffic is diverting to stadium road from Hassan Squar,1
Neelam Road is temporally blocked due to heavy rain water,1
Highway blocked from i8 interchange towards zero point,1
Traffic jam from sardar farman ali ave 2 to link road,1
the Islamabad highway is not blocked at the moment,0
"TLP workers protest at Brooks Chowrangi, Korangi Industrial area, traffic suspended, New Karachi, ICI bridge",1
Traffic jam from muncipal rd to shaheed-e-millat rd islamabad,1
Stadium Rd road is closed due to heavy traffic jam,1
Traffic jam on Westridge due to accident of two motorcycles,1
I am stuck in traffic jam since 5 O clock faiazabad and could not reach the destination at koral,1
A K  Fazl-ul-Haq Rd is closed,1
Jinnah super is just clrear from traffic jam,0
Marble Rd road is now free for Havey traffic,0
Traffic open from shan-ul-haq haqqee road to kurram road islamabad,0
AlamChowk road is closed due to bus accident on the way,1
CDA Stop on IJP Road from Rawalpindi to Faizabad/Islamabad are blocked due to PTI rally,1
9th avenue is closed due to political party protest,1
G-11 Intersection on Kashmir Highway coming from Rawalpindi are blocked due to PTI rally,1
There is rush on the kashmir highway near G9,1
Abdul sattar road is closed heading towards DMC,1
Traffic coming from PIB to Jail Chowrangi is diverted to jamshaid roa,1
Pirwadhai Rd road is closed now due to emergency,1
Kashmir highway traffic jam,1
Garden Ave Flyover is now free for light traffic,0
Kahuta Rd road is free now from heavy traffic jam,0
Korang Rd road is now closed for bike riders,1
khanapul is closed,1
Range Rd road is now free for light traffic,0
Traffic from from jail Chowrangi towards university road,0
Traffic jam from 4rth ave to isfahani rd islamabad,1
VIP movement through Kashmir highway so today road will be blocked during 3:30 - 4:00 PM,1
9Aveniue is clear for all kind of traffic,0
College road is clear at 12 pm,0
Fate jung bazzar is clear today,0
Atta turk Aveniue reopen for traffic after car acceident,0
Airport road to Gulberg Underpass is now free for Havey traffic,0
Khayaban Sir Syed Rd road is free now due to emergency,0
Kohat and bannu road is clear,0
Traffic is open bumper to bumper at ICI Bridge,0
Saidpur Rd to Khayaban Sir Syed Rd road is closed due to heavy traffic jam,1
baagh sardara murree road is totally traffic jam due to no traffic controller,1
Telenor Plaza to F11 Exchange chowk road will remain closed from both directions,1
Westridge is closed due to Chehlum Procession,1
After snow falling Chitral road is clear foor Traffic,0
"Avoid xpress way, 945 am  Dead slow ",1
Traffic jam at golra interchange on round about islamabad,1
F-6 is closed for traffic,1
Stadium Rd road is free now from heavy traffic jam,0
D-chowk is blocked due to strike by PTI,1
Traffic open in front of Parking plaza,0
Saddar is opened properly due to proper following of lane systems,0
Current situation sanam chowk cars stuck in heavy traffic,1
"Tanker removed, road cleaned from oil , diversions removed  Traffic moved from koral towards rawat",0
Traffic jam from municipal rd to sadar rd islamabad,1
Chitral to Islamabad is road is open for all kind of traffics,0
Traffic open from pitras bukhari to service road south islamabad,0
"Pindi Bhattian-Lahore, Pindi Bhattian-Faisalabad, and Faisalabad-Gojra motorway are blocked",1
Airport road to Gulberg Underpass is closed due to heavy traffic jam,1
Traffic jam from Urdu University till jail Chowrang,1
At 1230hrs: Muslim league N supporters rally will start from G 9 Markaz via Karachi company towards Aabpara while another one from Chatta Bakhtawar via Rawal Dam and both rallies will meet at Aabpara Chowk and will protest till 2pm  advised to avoid the area,1
Dhoke Hassu to Range Rd road is free now from heavy traffic jam,0
Westridge is monitored by traffic police personnel working there,0
IJP road is closed due to bus accident on the way,1
Traffic open from nusrat fateh ali khan to tipu sultan rd islamabad,0
A K  Fazl-ul-Haq Rd is now closed for bike riders,1
Mohra bakhtan is clear,0
HMC road is monitored by traffic police personnel working there,0
Traffic open site towards garden before zoo,0
Vehicles are lined up till Bahria town due to accident,1
Traffic open from main margalla rd to 9th ave  islamabad,0
AlamChowk road is closed due to route in both ways,1
Traffic jam from kirthar rd to faiz ahmed faiz rd islamabad,1
"Avoid FTC, Kashmir road and Shahrah e Faisa",1
Major road is monitored by traffic police personnel working there,0
Garden Ave Flyover is now free for bike riders,0
Traffic open from gamal abdul naseer rd to isfahani rd islamabad,0
Traffic jam at Faizabad,1
AlamChowk road is opened by administration due to more traffic on other road,0
Marble Rd road is now free for bike riders,0
There no jam on the kashmir high way,0
PIMS Ibn-e-sina road is closed,1
Margala road is clear,0
There no traffic at tt road,0
Westridge is opened properly due to proper working of traffic signals,0
Gt road blocked from taxila to Rawalpindi at taxila main bazaar,1
A K  Fazl-ul-Haq Rd is now closed for Havey traffic,1
HMC Road is closed due to emergency situations in the morning,1
Traffic open from sudran road to lehtrar rd,0
Booni to Mastuj road is clear for traffic after landsliding,1
Kurram road is closed due to political party protest,1
No rush at hunza,0
Kashmir highway is blocked because TTP protests in various cities across Pakistan,1
"Most of the tourists spent sleepless nights on the main Bahrain- Kalam Road and Manglawar-Malam Jabba Road due to the worst traffic jam, rush of people and dilapidated roads ",1
Dhoke Hassu to Range Rd road is closed,1
Rawal Road is blocked because airport road traffic was diverted to it,1
Naval Anchorage Rd road is now free for bike riders,0
"TLP workers protest at Brooks Chowrangi, Korangi Industrial area, traffic suspended, New Karachi, ICI bridg",1
Dha is clear,0
Gulberg Underpass to Madina Town road is now closed for light traffic,1
Kohat Tunnel is open for all kind of traffics,0
Dhoke Hassu road is closed due to heavy traffic jam,1
Traffic open from urdu University to civic center,0
Protest in front of Central Jail  Road blocked for traffic,1
Traffic ?? open from urdu University to civic center,0
Pirwadhai Rd road is now closed for light traffic,1
Traffic open from main margalla rd to rafiqui rd islamabad,0
Traffic jam from PHA rd to service rd i-ll (south) islamabad,1
"Numaish chowrangi still closed for traffic  Diversion: Nawa-e-waqt, Capri, Society office, P P Chorngi and S/ bazar 3  #Karachi",1
PIMS service road is closed due to heavy traffic jam,1
Traffic open from faizabad to faisal masjid,0
9th avenue  is opened due to clearance of traffic,0
Traffic jam from ak brohi rd to imam abu hanifa rd islamabad,1
Zero point to Hanna Rd road is closed now due to emergency,1
PIMS Ibn-e-sina road is closed due to heavy traffic jam,1
Sawat motorway is clear for all kind of traffic,0
Expressway jam From Khanna Bridge towards Faizabad Interchange,1
Zero point to Hanna Rd road is now closed for light traffic,1
Road close from Cantt Station to Lucky star for general public,1
Traffic open from mir chakar khan rd to sahib zada abdul qayyum rd islamabad,0
Flow of traffic is badly effected at Ala-Din Park Gulshan,1
Traffic jam from pitras bukhari to service road south islamabad,1
Kashmir highway at the moment  All routes are choked  Govt should resolve the issue soon,1
Saddar is closed due to Chehlum Procession,1
Traffic jam near stadium road because of Pakistan’s Cup cricket final match,1
I-10/4 service road is close because of road is being repaired after rain,1
Luqman Hakeem Rd is free now due to emergency,0
IJP Road is blocked due to Colliding of two trucks,1
IJP road is opened by administration due to more traffic on other road,0
Traffic jam site towards garden before zo,1
